グリッドi,断面積比A,密度rho,体積V,温度T,圧力P,マッハ数M,流量m
1.0,5.95,1.0,0.07786604448048891,1.0,1.0,0.07786604448048891,0.463302964658909
2.0,5.311999999999999,0.9981351856475513,0.08844652164703301,0.9992545781033906,0.9973911538243934,0.08847950507506333,0.4689517811350682
3.0,4.718000000000001,0.9976664837035722,0.09902699881357711,0.9990657366526781,0.9967344004749964,0.09907328989984593,0.4661191396994439
4.0,4.168,0.9960523959301504,0.11246184091081345,0.9984211367735203,0.9944797654305693,0.11255072711153631,0.466890549222833
5.0,3.662000000000001,0.9943621743974463,0.1279918785811175,0.9977411914331603,0.992116100599376,0.12813667850974667,0.46606377521493253
6.0,3.2,0.9918069467240443,0.14678502412283514,0.9967182117987509,0.9885520463883685,0.1470264772643289,0.4658637011202698
7.0,2.782,0.9884069602489008,0.16923424619680982,0.9953480465893221,0.9838089371190332,0.1696292598355109,0.46535155766616687
8.0,2.408,0.983614995221238,0.19629594603059428,0.9934201212767917,0.9771429278423531,0.1969449523390278,0.46493576352852994
9.0,2.078,0.976963282265093,0.2287910902040838,0.9907262137605833,0.9679031336216076,0.22985940630666937,0.464475587443807
10.0,1.792,0.9676795499433871,0.26762089981415393,0.9869587971193337,0.9550598446091035,0.26938320482753864,0.46407651922258775
11.0,1.55,0.9549342773246458,0.31333273612547924,0.9817403327005946,0.9374974951278996,0.31623319392847143,0.4637788633979146
12.0,1.3519999999999999,0.9379226485122639,0.3656560692639573,0.974724688680468,0.9142163615774764,0.37036659016371876,0.4636780112715139
13.0,1.1979999999999997,0.9165695968232849,0.42246684095998843,0.96579068717716,0.8852143807616528,0.42988384095363025,0.4638898739837042
14.0,1.088,0.8926415472899624,0.4782676579543372,0.9556407950776653,0.853044677971537,0.48924193249597964,0.46449068145003536
15.0,1.022,0.8715347934838151,0.5225254584901071,0.9465021217300228,0.8249095311939683,0.5370894962860364,0.465417898141426
16.0,1.0,0.8622058595031541,0.5404919314019531,0.94243679683463,0.8125745284422016,0.5567536819610142,0.4660153102689407
17.0,1.002223,0.8635879312826763,0.5381707420375504,0.9430285959339217,0.8143881143029823,0.5541886822191514,0.4657909142886451
18.0,1.0088920000000001,0.865695039645681,0.5334908065891126,0.9439662278790139,0.8171868810679068,0.5490965453824899,0.4659470293081594
19.0,1.020007,0.8700427383754077,0.5248762635592129,0.9458362319755409,0.8229179453226769,0.5396957025696507,0.46580127394188764
20.0,1.035568,0.8750824736825701,0.5140911857672131,0.9480583732008705,0.8296292664160909,0.5279862573891421,0.4658732404704183
21.0,1.055575,0.881583727362868,0.5005202446066881,0.9508234178957197,0.8382304528124105,0.5133005308538093,0.4657729995574352
22.0,1.080028,0.8883866464669214,0.4854592420525589,0.9538165811361432,0.8473579138600825,0.49707318970307474,0.46578962440114724
23.0,1.108927,0.8959593700131409,0.46875380418090834,0.9569721422363308,0.8574081576781887,0.47917610995890403,0.46573199980297025
24.0,1.1422720000000002,0.9033829529283459,0.4513059707320865,0.9602565756992603,0.8674794209240595,0.4605506868291274,0.46570671660393465
25.0,1.180063,0.9111133387683753,0.43314077456338934,0.9633723770707538,0.8777414229501608,0.4412980150903549,0.4657004603188684
26.0,1.2223,0.9183094942486754,0.4148387637330589,0.9666253350649214,0.8876612225714243,0.421939558857134,0.4656356437517427
27.0,1.268983,0.9256158491506498,0.39646626092302534,0.9694080577095203,0.8972994625102797,0.40267338205567865,0.46568561351259363
28.0,1.320112,0.9320764947565757,0.37839631499949905,0.9724813460714637,0.9064270042624464,0.38371277513945656,0.4655959921686927
29.0,1.375687,0.938658168736812,0.3606000084265462,0.9747420451491638,0.914949583090489,0.3652421433889321,0.46564273324831673
30.0,1.4357080000000002,0.9442143941316364,0.343549805726153,0.9776561413872402,0.9231170012090265,0.3474534600805133,0.4657216681907778
31.0,1.500175,0.9497706195264609,0.3264996030257598,0.9791837954133408,0.93,0.3299518355565799,0.46520386281417136
